#lambda[A]  att.coeff.[cm-1]
0.000       0.662
0.027       0.667
0.053       0.671
0.080       0.676
0.107       0.680
0.133       0.684
0.160       0.688
0.187       0.691
0.213       0.695
0.240       0.698
0.267       0.701
0.293       0.704
0.320       0.707
0.347       0.710
0.373       0.713
0.400       0.715
0.427       0.718
0.453       0.721
0.480       0.724
0.507       0.727
0.533       0.731
0.560       0.736
0.587       0.742
0.613       0.748
0.640       0.754
0.667       0.762
0.693       0.770
0.720       0.776
0.747       0.781
0.773       0.792
0.800       0.794
0.827       0.805
0.853       0.801
0.880       0.806
0.907       0.815
0.933       0.831
0.960       0.826
0.987       0.826
1.013       0.812
1.040       0.829
1.067       0.842
1.093       0.846
1.120       0.848
1.147       0.848
1.173       0.867
1.200       0.886
1.227       0.826
1.253       0.844
1.280       0.847
1.307       0.865
1.333       0.883
1.360       0.903
1.387       0.923
1.413       0.885
1.440       0.904
1.467       0.923
1.493       0.888
1.520       0.906
1.547       0.925
1.573       0.945
1.600       0.964
1.627       0.908
1.653       0.926
1.680       0.859
1.707       0.875
1.733       0.891
1.760       0.908
1.787       0.925
1.813       0.914
1.840       0.931
1.867       0.948
1.893       0.965
1.920       0.983
1.947       1.001
1.973       1.019
2.000       1.038
2.027       1.056
2.053       1.075
2.080       1.095
2.107       1.050
2.133       1.068
2.160       1.087
2.187       0.885
2.213       0.899
2.240       0.913
2.267       0.926
2.293       0.940
2.320       0.955
2.347       0.969
2.373       0.983
2.400       0.998
2.427       1.013
2.453       1.028
2.480       1.043
2.507       1.058
2.533       1.074
2.560       0.902
2.587       0.914
2.613       0.926
2.640       0.938
2.667       0.950
2.693       0.962
2.720       0.974
2.747       0.987
2.773       0.999
2.800       1.012
2.827       1.025
2.853       1.037
2.880       1.050
2.907       1.063
2.933       1.076
2.960       1.090
2.987       1.103
3.013       1.116
3.040       1.130
3.067       1.143
3.093       1.157
3.120       1.171
3.147       1.185
3.173       1.199
3.200       1.213
3.227       1.227
3.253       1.241
3.280       1.255
3.307       1.270
3.333       1.284
3.360       1.299
3.387       1.314
3.413       1.328
3.440       1.343
3.467       1.358
3.493       1.373
3.520       1.388
3.547       1.404
3.573       1.419
3.600       1.434
3.627       1.165
3.653       1.176
3.680       1.188
3.707       1.199
3.733       1.211
3.760       1.222
3.787       1.234
3.813       1.246
3.840       1.257
3.867       1.269
3.893       1.281
3.920       1.293
3.947       1.305
3.973       1.317
4.000       1.329
4.027       1.341
4.053       1.354
4.080       1.366
4.107       1.378
4.133       1.391
4.160       1.403
4.187       0.820
4.213       0.825
4.240       0.830
4.267       0.834
4.293       0.839
4.320       0.844
4.347       0.849
4.373       0.854
4.400       0.859
4.427       0.864
4.453       0.869
4.480       0.874
4.507       0.879
4.533       0.884
4.560       0.889
4.587       0.894
4.613       0.899
4.640       0.904
4.667       0.909
4.693       0.914
4.720       0.920
4.747       0.925
4.773       0.930
4.800       0.935
4.827       0.940
4.853       0.945
4.880       0.950
4.907       0.955
4.933       0.960
4.960       0.965
4.987       0.970
5.013       0.975
5.040       0.980
5.067       0.986
5.093       0.991
5.120       0.996
5.147       1.001
5.173       1.006
5.200       1.011
5.227       1.016
5.253       1.021
5.280       1.027
5.307       1.032
5.333       1.037
5.360       1.042
5.387       1.047
5.413       1.052
5.440       1.058
5.467       1.063
5.493       1.068
5.520       1.073
5.547       1.078
5.573       1.083
5.600       1.089
5.627       1.094
5.653       1.099
5.680       1.104
5.707       1.109
5.733       1.115
5.760       1.120
5.787       1.125
5.813       1.130
5.840       1.135
5.867       1.141
5.893       1.146
5.920       1.151
5.947       1.156
5.973       1.162
6.000       1.167
6.027       1.172
6.053       1.177
6.080       1.183
6.107       1.188
6.133       1.193
6.160       1.198
6.187       1.204
6.213       1.209
6.240       1.214
6.267       1.220
6.293       1.225
6.320       1.230
6.347       1.235
6.373       1.241
6.400       1.246
6.427       1.251
6.453       1.257
6.480       1.262
6.507       1.267
6.533       1.272
6.560       1.278
6.587       1.283
6.613       1.288
6.640       1.294
6.667       1.299
6.693       1.304
6.720       1.310
6.747       1.315
6.773       1.320
6.800       1.326
6.827       1.331
6.853       1.336
6.880       1.342
6.907       1.347
6.933       1.353
6.960       1.358
6.987       1.363
7.013       1.369
7.040       1.374
7.067       1.379
7.093       1.385
7.120       1.390
7.147       1.395
7.173       1.401
7.200       1.406
7.227       1.412
7.253       1.417
7.280       1.422
7.307       1.428
7.333       1.433
7.360       1.439
7.387       1.444
7.413       1.449
7.440       1.455
7.467       1.460
7.493       1.466
7.520       1.471
7.547       1.477
7.573       1.482
7.600       1.487
7.627       1.493
7.653       1.498
7.680       1.504
7.707       1.509
7.733       1.515
7.760       1.520
7.787       1.526
7.813       1.531
7.840       1.536
7.867       1.542
7.893       1.547
7.920       1.553
7.947       1.558
7.973       1.564
