# lambda[A]  att.coeff.[cm-1]
0.000       0.953
0.027       0.956
0.053       0.958
0.080       0.961
0.107       0.963
0.133       0.964
0.160       0.966
0.187       0.967
0.213       0.967
0.240       0.968
0.267       0.967
0.293       0.967
0.320       0.967
0.347       0.966
0.373       0.966
0.400       0.967
0.427       0.969
0.453       0.973
0.480       0.979
0.507       0.985
0.533       0.993
0.560       1.001
0.587       1.008
0.613       1.015
0.640       1.023
0.667       1.020
0.693       1.031
0.720       1.030
0.747       1.036
0.773       1.044
0.800       1.036
0.827       1.035
0.853       1.040
0.880       1.057
0.907       1.048
0.933       1.032
0.960       1.039
0.987       1.030
1.013       1.048
1.040       1.078
1.067       1.057
1.093       1.088
1.120       1.120
1.147       1.047
1.173       1.037
1.200       1.066
1.227       1.049
1.253       1.078
1.280       1.108
1.307       1.081
1.333       1.111
1.360       1.037
1.387       1.065
1.413       1.093
1.440       1.101
1.467       1.130
1.493       1.159
1.520       1.190
1.547       1.002
1.573       1.027
1.600       1.051
1.627       1.077
1.653       1.103
1.680       1.081
1.707       1.106
1.733       1.132
1.760       1.159
1.787       1.186
1.813       1.022
1.840       1.044
1.867       1.067
1.893       1.090
1.920       1.114
1.947       1.137
1.973       1.162
2.000       1.186
2.027       1.073
2.053       1.094
2.080       1.116
2.107       1.139
2.133       1.161
2.160       1.184
2.187       1.208
2.213       1.231
2.240       1.255
2.267       1.280
2.293       1.304
2.320       1.329
2.347       0.908
2.373       0.924
2.400       0.939
2.427       0.955
2.453       0.970
2.480       0.986
2.507       1.003
2.533       1.019
2.560       1.035
2.587       1.052
2.613       1.069
2.640       1.086
2.667       1.103
2.693       1.120
2.720       1.138
2.747       1.156
2.773       1.174
2.800       1.192
2.827       1.210
2.853       1.228
2.880       1.033
2.907       1.048
2.933       1.063
2.960       1.078
2.987       1.093
3.013       1.108
3.040       1.124
3.067       1.139
3.093       1.155
3.120       1.171
3.147       1.186
3.173       1.202
3.200       1.219
3.227       1.235
3.253       1.251
3.280       1.268
3.307       1.284
3.333       1.301
3.360       1.318
3.387       1.335
3.413       1.352
3.440       1.369
3.467       1.386
3.493       1.404
3.520       1.421
3.547       1.439
3.573       1.457
3.600       1.475
3.627       1.493
3.653       1.511
3.680       1.529
3.707       1.548
3.733       1.566
3.760       1.585
3.787       1.604
3.813       1.623
3.840       1.642
3.867       1.661
3.893       1.680
3.920       1.699
3.947       1.719
3.973       1.738
4.000       1.758
4.027       1.778
4.053       0.557
4.080       0.561
4.107       0.564
4.133       0.568
4.160       0.572
4.187       0.575
4.213       0.579
4.240       0.583
4.267       0.586
4.293       0.590
4.320       0.594
4.347       0.598
4.373       0.601
4.400       0.605
4.427       0.609
4.453       0.613
4.480       0.616
4.507       0.620
4.533       0.624
4.560       0.628
4.587       0.632
4.613       0.635
4.640       0.639
4.667       0.643
4.693       0.647
4.720       0.651
4.747       0.655
4.773       0.658
4.800       0.662
4.827       0.666
4.853       0.670
4.880       0.674
4.907       0.678
4.933       0.682
4.960       0.686
4.987       0.690
5.013       0.693
5.040       0.697
5.067       0.701
5.093       0.705
5.120       0.709
5.147       0.713
5.173       0.717
5.200       0.721
5.227       0.725
5.253       0.729
5.280       0.733
5.307       0.737
5.333       0.741
5.360       0.745
5.387       0.749
5.413       0.753
5.440       0.757
5.467       0.761
5.493       0.765
5.520       0.769
5.547       0.773
5.573       0.777
5.600       0.781
5.627       0.785
5.653       0.789
5.680       0.793
5.707       0.797
5.733       0.801
5.760       0.805
5.787       0.809
5.813       0.814
5.840       0.818
5.867       0.822
5.893       0.826
5.920       0.830
5.947       0.834
5.973       0.838
6.000       0.842
6.027       0.846
6.053       0.851
6.080       0.855
6.107       0.859
6.133       0.863
6.160       0.867
6.187       0.871
6.213       0.876
6.240       0.880
6.267       0.884
6.293       0.888
6.320       0.892
6.347       0.896
6.373       0.901
6.400       0.905
6.427       0.909
6.453       0.913
6.480       0.917
6.507       0.922
6.533       0.926
6.560       0.930
6.587       0.934
6.613       0.939
6.640       0.943
6.667       0.947
6.693       0.951
6.720       0.956
6.747       0.960
6.773       0.964
6.800       0.968
6.827       0.973
6.853       0.977
6.880       0.981
6.907       0.986
6.933       0.990
6.960       0.994
6.987       0.998
7.013       1.003
7.040       1.007
7.067       1.011
7.093       1.016
7.120       1.020
7.147       1.024
7.173       1.029
7.200       1.033
7.227       1.037
7.253       1.042
7.280       1.046
7.307       1.051
7.333       1.055
7.360       1.059
7.387       1.064
7.413       1.068
7.440       1.072
7.467       1.077
7.493       1.081
7.520       1.086
7.547       1.090
7.573       1.094
7.600       1.099
7.627       1.103
7.653       1.108
7.680       1.112
7.707       1.117
7.733       1.121
7.760       1.126
7.787       1.130
7.813       1.134
7.840       1.139
7.867       1.143
7.893       1.148
7.920       1.152
7.947       1.157
7.973       1.161
