# lambda[A]  att.coeff.[cm-1]
0.000       1.637
0.027       1.643
0.053       1.649
0.080       1.654
0.107       1.659
0.133       1.663
0.160       1.667
0.187       1.671
0.213       1.674
0.240       1.677
0.267       1.680
0.293       1.683
0.320       1.685
0.347       1.686
0.373       1.688
0.400       1.689
0.427       1.691
0.453       1.693
0.480       1.697
0.507       1.701
0.533       1.706
0.560       1.713
0.587       1.723
0.613       1.732
0.640       1.742
0.667       1.754
0.693       1.764
0.720       1.770
0.747       1.792
0.773       1.800
0.800       1.807
0.827       1.808
0.853       1.823
0.880       1.820
0.907       1.847
0.933       1.834
0.960       1.831
0.987       1.843
1.013       1.832
1.040       1.856
1.067       1.860
1.093       1.863
1.120       1.860
1.147       1.894
1.173       1.930
1.200       1.809
1.227       1.841
1.253       1.844
1.280       1.878
1.307       1.912
1.333       1.948
1.360       1.874
1.387       1.907
1.413       1.942
1.440       1.873
1.467       1.906
1.493       1.940
1.520       1.974
1.547       2.010
1.573       2.046
1.600       1.932
1.627       1.802
1.653       1.831
1.680       1.860
1.707       1.890
1.733       1.920
1.760       1.951
1.787       1.926
1.813       1.957
1.840       1.988
1.867       2.019
1.893       2.052
1.920       2.084
1.947       2.118
1.973       2.152
2.000       2.186
2.027       2.221
2.053       2.133
2.080       2.166
2.107       2.199
2.133       1.809
2.160       1.833
2.187       1.856
2.213       1.881
2.240       1.905
2.267       1.930
2.293       1.955
2.320       1.981
2.347       2.006
2.373       2.033
2.400       2.059
2.427       2.086
2.453       2.113
2.480       2.140
2.507       1.806
2.533       1.826
2.560       1.846
2.587       1.867
2.613       1.888
2.640       1.909
2.667       1.930
2.693       1.952
2.720       1.973
2.747       1.995
2.773       2.017
2.800       2.039
2.827       2.062
2.853       2.084
2.880       2.107
2.907       2.130
2.933       2.154
2.960       2.177
2.987       2.201
3.013       2.224
3.040       2.248
3.067       2.273
3.093       2.297
3.120       2.322
3.147       2.346
3.173       2.371
3.200       2.396
3.227       2.422
3.253       2.447
3.280       2.473
3.307       2.499
3.333       2.525
3.360       2.551
3.387       2.577
3.413       2.604
3.440       2.631
3.467       2.658
3.493       2.685
3.520       2.712
3.547       2.190
3.573       2.210
3.600       2.229
3.627       2.249
3.653       2.269
3.680       2.288
3.707       2.308
3.733       2.328
3.760       2.349
3.787       2.369
3.813       2.389
3.840       2.410
3.867       2.431
3.893       2.451
3.920       2.472
3.947       2.493
3.973       2.514
4.000       2.536
4.027       2.557
4.053       2.578
4.080       1.461
4.107       1.468
4.133       1.474
4.160       1.481
4.187       1.488
4.213       1.495
4.240       1.501
4.267       1.508
4.293       1.515
4.320       1.522
4.347       1.529
4.373       1.536
4.400       1.542
4.427       1.549
4.453       1.556
4.480       1.563
4.507       1.570
4.533       1.577
4.560       1.584
4.587       1.591
4.613       1.598
4.640       1.605
4.667       1.612
4.693       1.619
4.720       1.626
4.747       1.633
4.773       1.640
4.800       1.647
4.827       1.654
4.853       1.661
4.880       1.668
4.907       1.675
4.933       1.683
4.960       1.690
4.987       1.697
5.013       1.704
5.040       1.711
5.067       1.718
5.093       1.725
5.120       1.733
5.147       1.740
5.173       1.747
5.200       1.754
5.227       1.761
5.253       1.769
5.280       1.776
5.307       1.783
5.333       1.790
5.360       1.798
5.387       1.805
5.413       1.812
5.440       1.820
5.467       1.827
5.493       1.834
5.520       1.842
5.547       1.849
5.573       1.856
5.600       1.864
5.627       1.871
5.653       1.878
5.680       1.886
5.707       1.893
5.733       1.900
5.760       1.908
5.787       1.915
5.813       1.923
5.840       1.930
5.867       1.938
5.893       1.945
5.920       1.953
5.947       1.960
5.973       1.967
6.000       1.975
6.027       1.982
6.053       1.990
6.080       1.997
6.107       2.005
6.133       2.012
6.160       2.020
6.187       2.028
6.213       2.035
6.240       2.043
6.267       2.050
6.293       2.058
6.320       2.065
6.347       2.073
6.373       2.081
6.400       2.088
6.427       2.096
6.453       2.103
6.480       2.111
6.507       2.119
6.533       2.126
6.560       2.134
6.587       2.142
6.613       2.149
6.640       2.157
6.667       2.165
6.693       2.172
6.720       2.180
6.747       2.188
6.773       2.196
6.800       2.203
6.827       2.211
6.853       2.219
6.880       2.227
6.907       2.234
6.933       2.242
6.960       2.250
6.987       2.258
7.013       2.265
7.040       2.273
7.067       2.281
7.093       2.289
7.120       2.297
7.147       2.305
7.173       2.312
7.200       2.320
7.227       2.328
7.253       2.336
7.280       2.344
7.307       2.352
7.333       2.360
7.360       2.367
7.387       2.375
7.413       2.383
7.440       2.391
7.467       2.399
7.493       2.407
7.520       2.415
7.547       2.423
7.573       2.431
7.600       2.439
7.627       2.447
7.653       2.455
7.680       2.463
7.707       2.471
7.733       2.479
7.760       2.487
7.787       2.495
7.813       2.503
7.840       2.511
7.867       2.519
7.893       2.527
7.920       2.535
7.947       2.543
7.973       2.551
