# lambda[A]  att.coeff.[cm-1]
0.000       0.367
0.027       0.367
0.053       0.367
0.080       0.367
0.107       0.367
0.133       0.367
0.160       0.367
0.187       0.367
0.213       0.367
0.240       0.367
0.267       0.367
0.293       0.367
0.320       0.367
0.347       0.367
0.373       0.366
0.400       0.366
0.427       0.366
0.453       0.366
0.480       0.366
0.507       0.366
0.533       0.366
0.560       0.365
0.587       0.365
0.613       0.365
0.640       0.365
0.667       0.365
0.693       0.364
0.720       0.364
0.747       0.364
0.773       0.364
0.800       0.364
0.827       0.364
0.853       0.364
0.880       0.364
0.907       0.364
0.933       0.364
0.960       0.364
0.987       0.364
1.013       0.364
1.040       0.365
1.067       0.365
1.093       0.364
1.120       0.365
1.147       0.364
1.173       0.364
1.200       0.366
1.227       0.364
1.253       0.365
1.280       0.368
1.307       0.364
1.333       0.362
1.360       0.364
1.387       0.357
1.413       0.360
1.440       0.361
1.467       0.365
1.493       0.363
1.520       0.361
1.547       0.364
1.573       0.361
1.600       0.364
1.627       0.368
1.653       0.361
1.680       0.346
1.707       0.350
1.733       0.353
1.760       0.351
1.787       0.355
1.813       0.359
1.840       0.363
1.867       0.367
1.893       0.372
1.920       0.353
1.947       0.357
1.973       0.361
2.000       0.366
2.027       0.347
2.053       0.351
2.080       0.356
2.107       0.360
2.133       0.365
2.160       0.369
2.187       0.374
2.213       0.379
2.240       0.349
2.267       0.354
2.293       0.319
2.320       0.323
2.347       0.327
2.373       0.331
2.400       0.335
2.427       0.339
2.453       0.343
2.480       0.334
2.507       0.338
2.533       0.342
2.560       0.347
2.587       0.351
2.613       0.356
2.640       0.360
2.667       0.365
2.693       0.370
2.720       0.374
2.747       0.379
2.773       0.384
2.800       0.390
2.827       0.395
2.853       0.400
2.880       0.374
2.907       0.378
2.933       0.383
2.960       0.388
2.987       0.283
3.013       0.286
3.040       0.289
3.067       0.293
3.093       0.296
3.120       0.299
3.147       0.303
3.173       0.306
3.200       0.310
3.227       0.313
3.253       0.317
3.280       0.321
3.307       0.324
3.333       0.328
3.360       0.332
3.387       0.336
3.413       0.340
3.440       0.344
3.467       0.348
3.493       0.352
3.520       0.257
3.547       0.260
3.573       0.263
3.600       0.265
3.627       0.268
3.653       0.271
3.680       0.274
3.707       0.277
3.733       0.280
3.760       0.282
3.787       0.285
3.813       0.288
3.840       0.291
3.867       0.295
3.893       0.298
3.920       0.301
3.947       0.304
3.973       0.307
4.000       0.310
4.027       0.314
4.053       0.317
4.080       0.320
4.107       0.324
4.133       0.327
4.160       0.330
4.187       0.334
4.213       0.337
4.240       0.341
4.267       0.344
4.293       0.348
4.320       0.352
4.347       0.355
4.373       0.359
4.400       0.363
4.427       0.366
4.453       0.370
4.480       0.374
4.507       0.378
4.533       0.382
4.560       0.385
4.587       0.389
4.613       0.393
4.640       0.397
4.667       0.401
4.693       0.405
4.720       0.409
4.747       0.413
4.773       0.417
4.800       0.421
4.827       0.426
4.853       0.430
4.880       0.434
4.907       0.438
4.933       0.442
4.960       0.290
4.987       0.293
5.013       0.295
5.040       0.298
5.067       0.300
5.093       0.303
5.120       0.306
5.147       0.309
5.173       0.311
5.200       0.314
5.227       0.317
5.253       0.320
5.280       0.323
5.307       0.325
5.333       0.328
5.360       0.331
5.387       0.334
5.413       0.337
5.440       0.340
5.467       0.343
5.493       0.346
5.520       0.349
5.547       0.352
5.573       0.355
5.600       0.358
5.627       0.361
5.653       0.364
5.680       0.367
5.707       0.370
5.733       0.040
5.760       0.040
5.787       0.040
5.813       0.040
5.840       0.040
5.867       0.041
5.893       0.041
5.920       0.041
5.947       0.041
5.973       0.041
6.000       0.041
6.027       0.041
6.053       0.041
6.080       0.041
6.107       0.041
6.133       0.041
6.160       0.041
6.187       0.041
6.213       0.041
6.240       0.041
6.267       0.041
6.293       0.041
6.320       0.041
6.347       0.041
6.373       0.041
6.400       0.042
6.427       0.042
6.453       0.042
6.480       0.042
6.507       0.042
6.533       0.042
6.560       0.042
6.587       0.042
6.613       0.042
6.640       0.042
6.667       0.042
6.693       0.042
6.720       0.043
6.747       0.043
6.773       0.043
6.800       0.043
6.827       0.043
6.853       0.043
6.880       0.043
6.907       0.043
6.933       0.043
6.960       0.043
6.987       0.044
7.013       0.044
7.040       0.044
7.067       0.044
7.093       0.044
7.120       0.044
7.147       0.044
7.173       0.044
7.200       0.044
7.227       0.045
7.253       0.045
7.280       0.045
7.307       0.045
7.333       0.045
7.360       0.045
7.387       0.045
7.413       0.045
7.440       0.046
7.467       0.046
7.493       0.046
7.520       0.046
7.547       0.046
7.573       0.046
7.600       0.046
7.627       0.046
7.653       0.047
7.680       0.047
7.707       0.047
7.733       0.047
7.760       0.047
7.787       0.047
7.813       0.047
7.840       0.048
7.867       0.048
7.893       0.048
7.920       0.048
7.947       0.048
7.973       0.048
