# lambda[A]  att.coeff.[cm-1]
0.000       0.239
0.027       0.244
0.053       0.249
0.080       0.254
0.107       0.259
0.133       0.264
0.160       0.269
0.187       0.274
0.213       0.279
0.240       0.284
0.267       0.289
0.293       0.294
0.320       0.299
0.347       0.304
0.373       0.309
0.400       0.314
0.427       0.318
0.453       0.323
0.480       0.328
0.507       0.333
0.533       0.338
0.560       0.343
0.587       0.349
0.613       0.354
0.640       0.359
0.667       0.364
0.693       0.370
0.720       0.375
0.747       0.380
0.773       0.385
0.800       0.391
0.827       0.396
0.853       0.401
0.880       0.407
0.907       0.412
0.933       0.418
0.960       0.423
0.987       0.428
1.013       0.432
1.040       0.439
1.067       0.443
1.093       0.447
1.120       0.454
1.147       0.457
1.173       0.463
1.200       0.470
1.227       0.472
1.253       0.477
1.280       0.483
1.307       0.491
1.333       0.496
1.360       0.500
1.387       0.503
1.413       0.508
1.440       0.513
1.467       0.520
1.493       0.518
1.520       0.525
1.547       0.533
1.573       0.539
1.600       0.546
1.627       0.550
1.653       0.557
1.680       0.564
1.707       0.569
1.733       0.572
1.760       0.579
1.787       0.576
1.813       0.583
1.840       0.585
1.867       0.591
1.893       0.598
1.920       0.605
1.947       0.605
1.973       0.612
2.000       0.619
2.027       0.626
2.053       0.633
2.080       0.640
2.107       0.647
2.133       0.645
2.160       0.651
2.187       0.658
2.213       0.665
2.240       0.672
2.267       0.668
2.293       0.674
2.320       0.681
2.347       0.686
2.373       0.692
2.400       0.699
2.427       0.706
2.453       0.713
2.480       0.719
2.507       0.710
2.533       0.717
2.560       0.715
2.587       0.721
2.613       0.728
2.640       0.734
2.667       0.740
2.693       0.747
2.720       0.753
2.747       0.760
2.773       0.766
2.800       0.773
2.827       0.779
2.853       0.786
2.880       0.793
2.907       0.799
2.933       0.806
2.960       0.799
2.987       0.805
3.013       0.811
3.040       0.818
3.067       0.824
3.093       0.831
3.120       0.837
3.147       0.844
3.173       0.850
3.200       0.857
3.227       0.863
3.253       0.870
3.280       0.876
3.307       0.883
3.333       0.889
3.360       0.896
3.387       0.902
3.413       0.909
3.440       0.916
3.467       0.877
3.493       0.883
3.520       0.889
3.547       0.895
3.573       0.901
3.600       0.907
3.627       0.913
3.653       0.919
3.680       0.925
3.707       0.931
3.733       0.937
3.760       0.943
3.787       0.949
3.813       0.955
3.840       0.961
3.867       0.967
3.893       0.973
3.920       0.979
3.947       0.985
3.973       0.991
4.000       0.997
4.027       1.003
4.053       1.009
4.080       1.016
4.107       1.022
4.133       1.028
4.160       1.034
4.187       1.040
4.213       1.046
4.240       1.052
4.267       1.058
4.293       1.065
4.320       1.071
4.347       1.077
4.373       1.083
4.400       1.089
4.427       1.095
4.453       1.102
4.480       1.108
4.507       1.114
4.533       1.120
4.560       1.127
4.587       1.133
4.613       1.139
4.640       1.145
4.667       1.151
4.693       1.138
4.720       1.144
4.747       1.151
4.773       1.157
4.800       1.163
4.827       1.169
4.853       1.175
4.880       1.181
4.907       1.187
4.933       1.193
4.960       1.199
4.987       1.205
5.013       1.211
5.040       1.217
5.067       1.224
5.093       1.230
5.120       1.160
5.147       1.166
5.173       1.171
5.200       1.176
5.227       1.182
5.253       1.187
5.280       1.192
5.307       1.198
5.333       1.203
5.360       1.208
5.387       1.214
5.413       1.219
5.440       1.224
5.467       1.230
5.493       1.235
5.520       1.240
5.547       1.246
5.573       1.251
5.600       1.257
5.627       1.262
5.653       1.267
5.680       1.273
5.707       1.278
5.733       1.283
5.760       1.289
5.787       1.294
5.813       1.300
5.840       1.305
5.867       1.310
5.893       1.316
5.920       1.321
5.947       1.327
5.973       1.332
6.000       1.337
6.027       1.343
6.053       1.348
6.080       1.354
6.107       1.359
6.133       1.364
6.160       1.370
6.187       1.375
6.213       1.380
6.240       1.386
6.267       1.391
6.293       1.397
6.320       1.402
6.347       1.408
6.373       1.413
6.400       1.418
6.427       1.424
6.453       1.429
6.480       1.435
6.507       1.440
6.533       1.445
6.560       1.451
6.587       1.456
6.613       1.462
6.640       1.467
6.667       1.473
6.693       1.478
6.720       1.483
6.747       1.489
6.773       1.494
6.800       1.500
6.827       1.505
6.853       1.511
6.880       1.516
6.907       1.521
6.933       1.527
6.960       1.532
6.987       1.538
7.013       1.543
7.040       1.549
7.067       1.554
7.093       1.559
7.120       1.565
7.147       1.570
7.173       1.576
7.200       1.581
7.227       1.587
7.253       1.592
7.280       1.598
7.307       1.603
7.333       1.609
7.360       1.614
7.387       1.619
7.413       1.625
7.440       1.630
7.467       1.636
7.493       1.641
7.520       1.647
7.547       1.652
7.573       1.658
7.600       1.663
7.627       1.669
7.653       1.674
7.680       1.680
7.707       1.685
7.733       1.691
7.760       1.696
7.787       1.702
7.813       1.707
7.840       1.712
7.867       1.718
7.893       1.723
7.920       1.729
7.947       1.734
7.973       1.740
